나하, 89, 189
가아, 58, 193
바사, 77, 151
다라, 89, 194
파마, 77, 146
아나, 85, 146
카타, 48, 197
하마, 69, 178
차마, 74, 142
카다, 41, 179
바라, 63, 186
타가, 81, 181
자사, 81, 184
차자, 59, 152
사사, 74, 185
차바, 67, 176
아아, 61, 195
자나, 67, 174
가나, 48, 191
차바, 66, 167
나마, 96, 192
파라, 74, 183
카사, 94, 178
아차, 97, 198
아마, 61, 187
나마, 91, 150
자파, 73, 148
다차, 95, 173
라하, 61, 196
사파, 63, 186
나파, 85, 162
파다, 51, 150
자나, 90, 196
나카, 74, 164
카아, 83, 173
마타, 98, 166
타차, 41, 192
바파, 69, 193
아가, 67, 173
자아, 71, 147
가라, 87, 194
타가, 51, 167
자카, 51, 164
바마, 72, 141
하라, 40, 183
자라, 49, 186
마아, 63, 162
다차, 51, 156
하가, 58, 171
아아, 64, 187
사나, 77, 159
바아, 96, 199
하마, 88, 140
하다, 79, 185
마마, 90, 171
하가, 98, 142
차가, 48, 174
바파, 51, 160
아아, 40, 176
하하, 66, 194
자바, 69, 161
가가, 72, 168
라하, 66, 197
아바, 87, 172
마사, 64, 157
바라, 72, 194
사타, 83, 148
가사, 92, 161
타다, 81, 196
차아, 90, 188
라차, 60, 179
자아, 95, 165
차아, 86, 146
하라, 75, 146
아자, 94, 190
나바, 46, 163
파나, 80, 174
하바, 41, 142
다마, 80, 176
파바, 98, 154
라바, 56, 187
파타, 60, 180
사카, 73, 156
타다, 81, 156
마파, 58, 141
다다, 98, 140
아바, 44, 161
사가, 66, 145
마자, 84, 149
자다, 48, 156
하바, 73, 144
다아, 70, 184
타아, 52, 145
자라, 64, 189
차나, 61, 163
차타, 53, 141
바하, 52, 176
사사, 78, 168
하가, 66, 147
타하, 77, 179
파마, 96, 141
다다, 78, 189
라하, 42, 174
나나, 99, 159
파파, 73, 146
가차, 84, 187
라바, 49, 196
카나, 80, 185
타가, 69, 196
사다, 98, 167
타타, 90, 157
파파, 89, 191
나자, 54, 158
파차, 94, 192
바카, 82, 144
아나, 83, 169
라라, 49, 145
하타, 72, 185
사사, 70, 180
마가, 91, 177
아하, 41, 194
가하, 74, 147
가사, 95, 189
가다, 95, 140
다가, 74, 142
사아, 91, 181
타가, 62, 166
라가, 77, 154
마타, 52, 172
차마, 87, 143
차사, 97, 140
가가, 92, 145
바라, 72, 165
가마, 52, 192
가타, 65, 179
하자, 52, 187
파타, 96, 177
차차, 85, 167
다라, 77, 158
하차, 93, 171
자카, 49, 170
카자, 75, 186
나나, 72, 170
하바, 44, 197
아가, 55, 182
하사, 53, 192
나가, 42, 153
아바, 45, 166
아라, 49, 164
카라, 85, 159
타라, 53, 195
가파, 61, 180
카아, 81, 172
나타, 84, 140
마아, 81, 176
사라, 79, 148
카카, 45, 160
나차, 44, 181
아바, 93, 173
파타, 45, 164
라자, 75, 195
가타, 82, 157
바나, 82, 184
나자, 58, 143
하타, 76, 142
다다, 66, 167
사자, 51, 194
차바, 76, 149
가타, 85, 160
하타, 87, 166
바차, 46, 142
하바, 86, 187
사파, 77, 154
